"Compound","rt","mz","240927_50MeOH_pos_P2A1_1_9665","240927_50MeOH_pos_P2A1_1_9666","240927_50MeOH_pos_P2A1_1_9667","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9668","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9669","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9670","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9671","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9672","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9673","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9674","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9675","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9676","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9725","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9726","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9727","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9728","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9729","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9730","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9731","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9732","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9733","240927_0.1mgmL_GroupMix5_ValericAcid_HSST3_pos_P2E6_1_9782","240927_0.1mgmL_GroupMix3_IsovalericAcid_HSST3_pos_P2E4_1_9783","240927_0.1mgmL_GroupMix7_ValericAcid_HSST3_pos_P2E8_1_9784","240927_0.1mgmL_GroupMix2_ValericAcid_HSST3_pos_P2E3_1_9785","240927_0.1mgmL_GroupMix4_HSST3_pos_P2E5_1_9786","240927_0.1mgmL_GroupMix6_HSST3_pos_P2E7_1_9787","240927_0.1mgmL_FullMix_HSST3_pos_P2F1_1_9788","240927_0.1mgmL_GroupMix1_HSST3_pos_P2E2_1_9789","240927_0.1mgmL_GroupMix8_IsovalericAcid_HSST3_pos_P2E9_1_9790"
"117.07857 Da 402.12 s",6.7,140.06784,10114,9966,5746,16392,8542,10148,25896,10636,7522,8900,14280,9792,28994,26150,20112,13092,13834,32430,20528,28402,16412,33630,28120,35490,13804,15984,27608,21050,19970,10772
"137.97156 Da 402.83 s",6.71,138.97969,8278,9006,8336,7028,9216,10966,8332,7826,8830,11484,8228,7724,7622,8302,8494,8382,9064,7446,8854,8520,7976,7862,8866,8394,8316,8530,8736,8580,8316,8796
"78.51286 Da 402.92 s",6.72,79.51979,7530,8744,7684,6410,9340,7686,8442,9660,8754,10316,8386,10174,10142,9376,6708,8240,8994,7806,11468,8640,7566,9662,10264,8914,9242,8382,8928,9590,8060,9030
"249.92957 Da 402.75 s",6.71,214.91699,7902,9314,10072,10424,9698,11470,12640,9348,11084,10460,11724,9766,12018,13306,12858,10272,13020,13492,11840,14990,8462,15846,12984,12802,12254,14014,13308,14016,12728,12920
"247.89247 Da 403.33 s",6.72,230.88923,4856,5596,5078,5120,5340,5972,5194,4944,5410,5616,5794,5718,4912,5920,6308,4768,5258,5716,5710,5312,4936,5032,4206,5500,5934,5586,4394,4978,4782,5994
"62.04557 Da 402.91 s",6.72,140.96134,5880,5954,4694,5294,5820,5578,5862,5318,5662,5484,5530,5936,5470,4640,5580,4956,4696,4464,5966,4594,4254,4038,5120,5576,5436,4962,4654,4266,4072,5410
"306.89182 Da 403.39 s",6.72,289.88872,5980,5106,5506,5180,5052,5086,4832,5410,5798,5256,4608,5594,4368,4550,5534,4654,5280,5476,4394,4280,4562,4752,4100,4716,5236,4022,3952,4928,0,5070
"307.88969 Da 403.36 s",6.72,290.88662,6902,6644,6506,6080,6108,7632,6736,5954,5880,5620,5392,6538,4706,4964,5858,5304,5072,4972,5578,5386,4710,3660,3548,4304,4330,4392,4538,4336,3324,4716
"260.88653 Da 402.30 s",6.7,243.88342,4860,4976,4816,4474,4978,4482,1860,6100,4892,3278,4182,4974,4168,2444,5036,5686,5254,2972,3072,2724,4798,2456,2826,2226,3348,3970,3524,2258,5436,5090
"150.97609 Da 402.79 s",6.71,115.96423,8550,7954,8596,8262,9150,9086,9668,8522,10072,9322,10262,9178,8070,7718,6978,7466,8948,7044,8702,8082,7436,7710,7734,7482,8210,7960,8366,8092,6930,7430
"202.98692 Da 402.74 s",6.71,185.98374,7412,5924,6402,6058,7734,6202,6504,7446,6496,5964,6368,6982,6022,4274,4926,5794,5426,5170,5724,6006,5242,5578,5296,4978,4936,4960,5128,4564,4872,4404
"288.91864 Da 403.31 s",6.72,271.91569,3954,4004,4218,3596,3628,4138,4028,4280,3474,3152,3424,4278,3400,3276,4054,3386,4042,3582,3700,4574,4072,3482,4318,3204,3652,3758,4356,3400,3402,3710
"301.88868 Da 403.17 s",6.72,248.86316,1886,2398,1722,1914,1376,1918,1522,1638,1638,1482,1878,1954,3302,1482,2360,1570,1836,1548,1646,1486,1934,1670,1474,1638,1764,2322,1894,1290,1574,1556
"101.50036 Da 402.80 s",6.71,102.50907,0,1870,2362,2494,2296,2786,0,2258,0,0,2412,2030,1838,2028,2234,1636,2036,0,2720,2376,1502,1920,0,2392,2340,1792,0,2002,2706,0
"88.02863 Da 402.76 s",6.71,111.02024,0,2188,0,0,2424,0,2450,0,2956,0,0,0,0,0,0,2992,0,2522,900,0,0,0,0,2858,2992,0,0,2574,0,0
"250.93083 Da 403.45 s",6.72,251.93811,1802,1792,1958,1510,1940,1918,1946,1706,2136,2166,1772,2030,1720,1758,1874,1558,1654,1472,1426,2134,1812,1668,1470,1472,1728,1392,1480,1418,1630,1398
"120.00214 Da 402.86 s",6.71,61.00834,22358,20706,21548,23006,24746,26530,24302,27870,28874,25084,25872,22600,44434,37682,38630,0,47230,36634,41742,40432,39348,48578,52294,54482,54068,51704,56244,51864,45720,0
"115.95481 Da 402.80 s",6.71,116.96208,3036,2986,3644,2742,2544,2900,3026,3212,2360,2368,2874,2938,2560,1860,2054,2186,2114,2054,2880,2200,1882,1554,2128,1784,1730,1604,1998,1952,1662,1670
"627.49174 Da 401.59 s",6.69,628.49902,1794,2394,2042,2276,2418,2416,2290,1990,2432,2494,2554,2536,6604,7228,7508,6696,7800,7774,7066,7256,8106,7688,8780,8520,8128,7010,7858,8470,8210,7510
"116.97276 Da 402.71 s",6.71,117.98003,16604,17208,14518,13984,13934,13782,15308,16930,14874,16816,14378,13508,16562,15978,13654,10662,13192,13200,13136,15034,11706,13666,11860,14032,13430,11836,14292,15582,13356,13108
"138.98011 Da 402.77 s",6.71,139.98738,9116,9570,8796,9374,10194,11256,8562,10600,10122,10282,11564,10192,9148,10054,9294,9204,10234,8746,10188,8686,8968,10278,9684,11306,10264,9054,9858,9342,9806,10044
"125.96001 Da 402.69 s",6.71,126.96729,4040,2962,3104,3116,2944,4204,3344,3624,3090,4088,4434,3624,4262,3424,3504,4146,3624,4016,4588,4114,3896,3568,3604,4128,3712,3542,3556,4128,3358,4008
"55.95868 Da 402.83 s",6.71,56.96596,66690,72192,70522,70706,70610,71054,72162,72410,78386,68538,72452,72486,69012,60200,58204,60904,67092,63772,67402,58838,60598,62188,65632,64896,65492,57958,66872,64968,54978,64686
"79.98884 Da 402.87 s",6.71,80.99611,1562,1238,1988,1590,1790,1822,1128,1678,1686,1660,1702,1804,0,2058,2716,1602,2580,2300,2806,2270,2954,2406,3046,2382,3116,2256,0,2920,2376,2346
"156.98259 Da 402.87 s",6.71,79.49857,0,0,0,0,0,13344,0,13934,14338,14676,14632,0,15944,0,14858,16882,0,0,19414,0,14168,13968,16110,16572,18378,12464,0,0,12574,18070
"109.50728 Da 402.83 s",6.71,110.51456,0,2384,0,2344,2290,2746,2806,2420,2646,3178,2278,0,2056,2634,1476,1554,1930,2212,2556,1956,1474,1708,2050,1742,1992,1740,1662,1806,2082,1910
"162.95708 Da 402.57 s",6.71,163.96436,13492,14410,12180,11248,12632,18132,12846,11260,14370,14914,12686,11966,11880,11624,10780,10430,10560,9922,12870,10480,9654,9792,9538,11172,9302,9326,10074,12200,9252,9846
"259.87818 Da 403.77 s",6.73,260.88545,1220,1324,1456,1528,1402,1402,1170,1596,1334,1774,1656,1552,1866,1504,1646,1450,1886,1896,1938,1496,1824,1718,2160,1692,1790,1712,1720,1882,1660,1588
"152.95134 Da 403.83 s",6.73,153.95862,1362,1848,1702,1656,2106,1798,1532,1652,1860,1614,1656,1806,1946,1864,1714,1772,1654,1674,1674,1890,1302,1586,2376,1876,1794,1730,1684,1688,2018,1574
"165.98007 Da 402.82 s",6.71,83.99731,3280,4338,3236,0,0,3122,4098,3572,4416,4436,4030,4176,5990,6152,4702,0,7384,0,5886,5576,6712,6632,8018,6702,0,7672,9878,7558,0,7880
"254.93569 Da 402.71 s",6.71,255.94296,4672,2744,2268,6058,2822,3442,5590,3146,3334,2940,3168,3990,3618,6688,6864,2878,4152,7236,3656,6686,2824,7136,4418,4556,3830,9412,4048,3780,9372,3500
"333.90409 Da 402.68 s",6.71,334.91137,2456,3122,2254,3220,2848,3968,3870,2732,2550,3282,3086,2550,3336,2886,2830,3224,2742,3772,2426,3326,2986,2322,1846,1914,1886,2708,1758,2084,2724,1810
"330.90732 Da 403.07 s",6.72,331.91459,2006,1876,1578,1766,1946,1716,1848,1724,1698,1616,1850,1780,1640,1508,1542,1476,1398,1450,1814,1930,1560,1462,1250,1390,1242,1352,1344,1230,1448,1292
"99.00494 Da 403.12 s",6.72,100.01221,0,0,84882,79840,0,80966,3314,89152,79354,88848,79824,0,73202,65776,52520,56544,66556,51600,72384,0,0,0,0,54396,0,0,0,0,0,58360
"81.00703 Da 402.72 s",6.71,82.01431,5768,4462,5168,5872,5814,6302,5064,5056,4824,6214,0,5434,7122,6782,7592,5834,6472,8006,6948,7772,5032,6372,7580,8074,7488,5142,6938,7196,0,6066
"108.97107 Da 403.04 s",6.72,109.97834,1090,1016,872,884,972,1570,1044,798,964,1176,786,1020,2090,1790,2034,1420,1260,1342,1412,1498,1486,1320,1710,1652,2068,2128,1516,1910,1930,2024
"59.95321 Da 402.84 s",6.71,60.96048,1348,1798,1806,1768,1320,1862,1828,2254,1968,1332,1902,1384,1646,1384,1462,1356,1666,1162,1894,1410,1200,1308,1592,1664,2208,1494,1314,1702,1972,1012
"195.99937 Da 402.88 s",6.71,99.00696,0,4948,0,0,5082,0,4868,0,0,0,0,5118,0,5428,4274,3886,5178,3322,5746,3776,0,0,3382,0,0,0,3774,4798,2862,4318
"166.00500 Da 402.77 s",6.71,167.01228,3480,2796,2864,2836,3148,4154,3846,4070,2786,3432,3190,3020,3240,2724,2922,3092,3762,2574,3112,3774,2920,4456,4214,3710,3020,2824,3428,3060,2234,2766
"574.40556 Da 402.23 s",6.7,575.41284,0,3670,0,24,0,0,0,3464,0,4592,0,0,8672,0,5712,6130,0,72,144,84,0,0,8408,9950,60,0,7590,36,8750,5374
"139.96779 Da 402.81 s",6.71,140.97506,3386,3600,3888,3354,3352,4442,3030,3348,3312,3828,3848,3406,3296,3556,3692,3228,3556,3460,3916,3750,3554,3364,4182,3780,4082,3712,4384,3784,2902,3638
"590.41400 Da 402.33 s",6.71,591.42127,0,0,0,352,0,0,0,0,0,18662,12094,1224,0,8296,840,606,56,330,16328,876,568,0,0,0,0,0,28,11292,122,15570
"123.03640 Da 402.69 s",6.71,62.52548,3258,1952,0,2912,2612,3332,0,3678,0,2596,0,0,0,4334,5310,5332,3856,0,0,5476,0,5826,0,7440,4206,6010,6450,0,5860,0
"78.97781 Da 402.85 s",6.71,40.49618,3426,3546,0,0,2872,0,3140,3238,2950,3186,3344,4164,5620,4822,0,5990,0,5582,0,6230,6594,6988,7944,6124,6444,6612,6670,6820,5636,7024
"104.02431 Da 402.78 s",6.71,53.01943,858,1022,734,686,858,766,1394,728,1178,1570,1032,1300,1450,1676,1918,2144,0,0,2366,1668,0,0,2156,1618,2572,2556,1902,0,2432,1564
"118.96805 Da 403.00 s",6.72,119.97532,6026,5166,4964,4800,5650,5712,5744,5716,4734,7542,6008,5108,5466,5612,4154,4054,5088,4596,6578,5446,4604,3836,4144,5002,4236,4064,4092,5648,3734,4660
"743.54627 Da 402.18 s",6.7,744.55354,12760,12384,7798,2606,5060,2474,844,2452,2652,1866,1380,2076,0,0,0,60,108,108,0,0,0,0,42,0,0,0,0,0,0,142
"179.99947 Da 402.81 s",6.71,91.00701,10028,0,0,0,0,0,0,10232,9766,9666,9830,0,0,2280,0,1284,0,0,11534,0,0,0,0,10152,0,0,9232,10596,0,0
"62.01645 Da 402.69 s",6.71,63.02372,1948,2696,1642,0,1764,2000,0,2554,0,0,0,0,0,0,0,3832,0,0,0,5552,0,5738,0,4834,0,0,5364,0,5342,0
"222.98021 Da 403.51 s",6.73,223.98749,2018,1702,2024,2104,2126,2348,1934,2106,2650,2018,2110,2178,2388,2148,1972,2270,2138,2494,2022,2274,2212,2244,1920,1868,1940,1988,2180,2128,2262,2018
"158.98148 Da 402.78 s",6.71,80.49802,1032,1148,1250,852,972,1124,1256,1060,1180,1276,970,1086,1600,1286,1536,1026,1400,1082,1486,1482,1386,1948,1844,1210,2218,1432,1242,1514,1374,1468
"181.95395 Da 403.46 s",6.72,182.96123,9808,11092,10148,12110,11902,13142,12294,11226,11578,11330,13608,12284,12726,12214,13716,13988,12776,12444,12262,12218,12508,12850,12926,13486,12928,11864,11922,13246,12504,12654
"120.95907 Da 402.95 s",6.72,121.96635,3788,3798,3566,3762,3206,3588,3822,3538,3564,3766,4528,4192,3056,3590,4154,3304,4050,0,3180,3416,3602,3314,3416,4404,4080,4100,4144,5062,3734,3826
"183.99036 Da 402.79 s",6.71,93.00246,1992,2616,1908,2290,2462,0,2484,1696,2022,2352,0,2832,4314,3366,3116,2344,3496,3798,2816,2812,3046,3906,3190,3528,4400,2924,0,3122,3816,4252
"184.99078 Da 402.85 s",6.71,93.50266,1610,1570,1304,1298,1264,1542,1360,1522,1452,1662,1780,1630,1760,1492,1770,1790,1706,1620,1666,1186,1406,1892,1966,0,1762,1674,0,1562,2010,2046
"287.91391 Da 402.08 s",6.7,288.92118,1964,1756,1814,2570,1446,1518,3222,2594,2092,1736,2356,2914,3702,2734,2654,2492,2458,3832,2800,3028,2430,4324,3100,3860,2484,3548,3234,2868,2668,2294
"155.98477 Da 402.83 s",6.71,78.99966,34008,31388,35646,32088,34876,36946,29908,37576,34118,43692,36060,31104,51138,49524,45454,47754,51386,48770,55104,49320,48434,49922,59826,59496,59490,56130,63418,55344,51738,55722
"241.91794 Da 403.16 s",6.72,121.96625,3002,3570,2702,0,0,0,0,0,3456,0,0,0,0,0,2446,0,0,3626,0,0,0,0,0,0,0,0,0,0,0,0
"126.96797 Da 402.71 s",6.71,127.97525,2760,2366,2950,2688,2216,2778,2228,2736,2460,2484,2746,2868,3120,3036,3024,2460,3154,2940,3442,3352,2942,3192,2304,3034,2874,3022,3176,2806,2798,2996
"157.97993 Da 402.83 s",6.71,79.99724,11082,11858,11694,10374,11064,15162,0,0,0,14176,13084,10642,18086,18402,16454,16774,18338,18278,19544,16070,17094,19306,0,0,20698,0,0,17376,17784,19294
"785.59368 Da 402.20 s",6.7,786.60096,20074,53732,49594,10254,36110,28778,11770,17666,15474,12768,8150,7086,0,0,0,252,0,70,0,98,0,0,0,0,0,0,0,0,0,0
"90.99894 Da 402.78 s",6.71,92.00622,1526,1684,1332,1188,1542,1748,1698,1314,1582,1758,1770,1458,1376,1896,1738,1912,2030,1698,2594,1718,1856,2018,2072,2132,2380,2154,1908,1846,2474,2614
"248.93537 Da 403.46 s",6.72,249.94264,3908,2596,3346,2394,3068,2784,2668,3170,3016,2566,3128,2560,2078,2544,2546,2272,2366,3130,2606,2254,2476,2020,2190,2588,2346,2498,2884,2332,2228,2404
"173.99504 Da 402.83 s",6.71,88.0048,142836,132640,136364,125832,149748,140220,138118,147486,139342,154182,148672,142628,170258,162496,136754,152766,155728,143356,167656,147440,151216,152212,164686,157192,169370,148602,168364,170358,138926,165346
"161.95965 Da 402.82 s",6.71,162.96692,15018,15524,12854,13224,14848,14224,11608,14806,14218,13006,13930,13266,10076,8354,8664,9018,11158,9034,8926,8618,8396,7722,6508,8496,7676,6710,8888,7162,6740,7484
"142.98922 Da 402.78 s",6.71,143.9965,6562,8600,9414,6800,7826,8448,7534,7286,8294,6836,7534,7744,7728,6180,5812,6512,5790,5624,5326,6416,6094,6826,6434,6902,6196,5530,6682,5566,5146,4996
"122.95700 Da 403.30 s",6.72,123.96427,1974,1536,1922,1766,1658,1946,1692,1764,1906,1784,1702,1640,1756,2156,2140,1950,1726,1424,1970,1790,1676,1466,1778,1906,1540,1564,1696,1418,1600,1820
"139.01696 Da 402.95 s",6.72,70.51576,3096,4306,4334,4630,3666,4056,4274,4668,4862,5138,4490,4740,6512,5762,5716,5758,6224,5040,4918,5014,5062,5554,6128,6166,7364,6164,7140,7478,4986,6582
"97.99950 Da 402.81 s",6.71,99.00678,5740,0,5720,3814,0,5266,0,5050,4542,5408,4918,0,4830,0,0,0,0,0,0,3404,3460,4710,0,3912,3896,2722,0,0,0,0
"39.96440 Da 402.79 s",6.71,40.97167,2680,2156,2822,2174,2640,2712,3564,2806,3186,2424,2552,2544,3502,2964,3578,2988,2402,0,3440,3708,2804,4128,3360,3504,2574,3106,3608,3258,2652,3856
"180.99592 Da 402.82 s",6.71,91.50524,13196,10970,12408,10434,11788,13990,11698,12890,12900,14616,12412,13748,15822,16436,14836,15452,18016,14784,0,15300,15096,15078,16890,16520,0,15852,18272,0,0,18076
"87.99531 Da 402.84 s",6.71,89.00259,51654,0,0,45512,54264,49816,43956,50806,50522,52704,51816,47550,56718,58666,48154,45732,60296,49098,59356,52242,48580,0,57394,55310,60312,51090,56804,58464,46570,58852
"588.42098 Da 401.91 s",6.7,589.42826,2214,2196,2484,2414,3278,2718,3210,2896,3084,3408,3030,3032,7858,8176,8520,6970,7458,6624,10358,7822,6770,7420,9484,5622,7668,7634,8040,6892,6240,6026
"181.89457 Da 403.04 s",6.72,182.90185,1798,1798,1542,1722,1934,1662,1984,1796,1864,1958,1910,2374,2420,2320,2748,2870,2308,2248,2524,2966,2792,2638,2160,2436,2436,3160,2688,3146,2982,2302
"305.88471 Da 403.45 s",6.72,306.89198,3072,2942,2878,3170,2776,3182,3550,2690,4154,4082,3284,3188,5790,4070,4140,3740,3790,3584,3504,3888,4146,4476,4342,3446,4092,3802,4272,3282,3744,2856
"89.99926 Da 402.86 s",6.71,91.00654,0,10268,7804,7322,9132,9046,8872,0,0,0,0,9330,9382,7926,10002,10450,10928,8294,0,8700,10010,9756,10806,0,10168,9732,0,0,9278,10508
"95.50749 Da 403.69 s",6.73,96.51476,2526,2938,2252,1790,2726,2426,1994,2370,2094,2512,2152,2616,0,2472,2024,1914,1502,1844,2212,1624,2012,1562,1576,1760,1908,1562,1866,1824,0,1946
"145.94816 Da 402.70 s",6.71,146.95543,3230,3206,2974,2970,3562,3756,3560,3284,2996,3366,3270,3286,3874,3480,2968,3244,3444,3464,3944,3842,2742,2852,3390,3454,3192,3630,3346,3152,4008,3626
"142.00453 Da 402.84 s",6.71,72.00954,0,0,0,0,0,198,0,0,0,0,0,2486,2880,0,0,0,2328,2230,0,2914,0,0,0,0,0,2960,0,3330,0,0
"200.00785 Da 402.88 s",6.71,101.0112,5724,6946,5038,4660,4642,5210,6610,5610,4512,5924,5810,4792,5762,7042,5188,6114,5286,4676,6776,4888,5762,5378,5806,4314,5570,5230,6638,7444,5902,4976
"164.95415 Da 402.30 s",6.7,165.96143,1854,1820,1756,1580,1856,2374,1958,1818,1998,2506,1874,1972,1976,1584,1640,1804,1396,1812,2442,1566,1390,1426,1786,2280,1734,1378,1364,1824,1212,858
"298.88107 Da 403.90 s",6.73,299.88834,1462,1882,1400,1732,1622,1468,2336,1848,1804,1512,2088,1848,1892,2322,2024,1796,1952,1986,2768,1946,2046,1794,2048,1898,2182,1864,1914,1966,1988,2278
"632.44711 Da 401.72 s",6.7,633.45438,1740,1988,2336,1408,1766,2464,2688,1900,2454,1806,2352,2040,6538,7772,8094,5526,6130,6326,7304,7114,5468,7234,10578,6748,7326,7114,7416,7376,6182,5610
"589.42472 Da 401.97 s",6.7,590.432,854,778,748,980,732,864,1352,1022,1400,1160,1208,1082,3692,2468,3128,2274,2440,2428,3418,2354,2702,2578,3414,2472,2452,2370,2800,2248,2094,2016
"648.42110 Da 401.94 s",6.7,649.42838,740,934,682,0,610,1030,770,714,572,594,740,500,1350,1774,1890,1316,1442,1848,1564,1660,1312,1608,1580,1472,1560,1596,1768,1890,1702,1720
"178.97231 Da 402.21 s",6.7,179.97959,2970,2884,2712,3342,2448,4212,4466,2774,2468,3330,3610,2508,3514,3430,3342,2102,1730,2238,2688,3378,2964,2740,2382,2808,1712,1920,2462,2708,3192,2224
"71.07423 Da 402.56 s",6.71,72.0815,970,1210,1048,1230,1172,1096,904,1328,1084,1438,1544,1572,1164,1356,1076,1002,1036,1254,1622,1078,2078,1418,1350,1726,1298,1152,1776,1310,1272,1374
"127.95535 Da 402.64 s",6.71,128.96263,1854,1502,1728,1762,2058,2322,1960,1998,1830,2474,1986,1978,2104,2014,1694,1992,1930,1954,2708,2484,1624,2274,2308,2668,2248,2088,2084,2534,2268,2308
"265.86575 Da 402.77 s",6.71,266.87303,1326,1154,1398,1078,1134,2102,1296,1066,1200,1494,2644,1116,964,1196,972,878,1050,1346,1312,998,1256,1288,980,1100,826,1268,1082,1156,1178,1004
"246.88477 Da 403.49 s",6.72,247.89205,1312,1272,1942,1542,1972,1896,2108,1630,1774,2044,1898,2106,2014,2478,2714,2138,2576,2186,2370,2516,2024,2030,2672,2636,2678,2184,2050,2184,1950,2116
"377.81451 Da 402.77 s",6.71,378.82179,792,912,888,618,810,646,678,1068,814,648,746,900,736,952,850,890,752,926,838,748,838,1036,958,1186,848,964,626,790,920,880
"117.07894 Da 403.03 s",6.72,118.08622,18104,16202,18908,15466,18574,25862,18892,18108,20824,25172,21652,19548,0,19624,0,18996,21584,19324,24572,18366,18980,19172,22724,24126,26094,20760,24124,22494,17952,20924
"278.90049 Da 403.25 s",6.72,279.90776,2210,2016,2002,2030,1964,0,1876,1686,2192,1604,1804,1906,1588,1940,1824,1544,1856,1632,1580,1548,2440,1504,1770,2220,1212,1516,1496,1730,1696,1646
"265.90201 Da 403.29 s",6.72,266.90929,1918,2474,2456,1968,4260,1820,2004,2304,2234,1824,1892,1944,1844,1386,0,1786,1582,1788,1394,1414,1438,1300,1622,1404,1300,1296,1402,1412,1286,1454
"124.96463 Da 403.40 s",6.72,125.97191,1530,1534,656,1698,1772,2172,2228,2736,1984,2484,1746,992,1800,1694,2086,2054,2060,1960,1572,1954,1982,3192,1674,1822,2334,1722,1992,1780,0,1736
"218.89011 Da 403.44 s",6.72,219.89739,1004,1504,1128,1198,1312,2092,1508,1630,1894,1858,1370,1572,1826,1704,1400,2016,1888,1736,1808,1708,2060,1832,1906,2218,1526,1796,1868,1384,1820,2130
"264.89503 Da 403.55 s",6.73,265.90231,1526,1578,1574,1684,1828,1900,1940,1992,2430,2320,2078,1940,2146,1612,0,2136,2542,1738,1932,1780,1720,2204,1730,2042,1720,1776,2298,1722,1644,1696
"106.51058 Da 403.57 s",6.73,107.51785,2440,1768,1948,2254,2404,2030,1456,1810,1962,2330,1722,1568,1192,1280,874,1290,1378,1116,1280,1054,894,550,894,1142,810,1160,1060,1278,1038,808
"264.85788 Da 403.58 s",6.73,265.86515,1602,1546,1754,1250,1672,1574,1974,1440,1648,1728,1842,1850,1914,2052,2130,1848,2230,1990,1720,2824,1904,1848,2382,1784,2034,2416,2336,1558,1580,2334
"59.03852 Da 403.64 s",6.73,60.0458,2798,2772,3058,2882,2460,2944,2692,2658,2318,2508,3150,2804,2566,2010,3158,2854,2708,2738,2452,2608,2430,2778,2844,2308,2308,2304,2692,2114,2572,2400
"143.97447 Da 403.66 s",6.73,144.98175,10184,8410,8364,7876,7864,8692,6970,8122,7538,8020,6970,8162,8248,7196,7514,6824,6860,7620,8652,6676,7432,7606,7506,8000,6530,6954,7210,7282,7294,7384
"41.02849 Da 403.69 s",6.73,42.03577,95976,97712,93900,91708,95360,93868,95292,89570,92280,92598,93412,93496,85776,83890,87362,87454,86352,86018,85846,83712,85820,82442,82744,84232,83064,82552,82128,83764,83284,81628
"282.86795 Da 403.72 s",6.73,283.87523,1504,1732,1924,2026,2346,1852,1578,1638,1996,1860,1954,1966,1668,2392,1786,1790,2430,2056,1578,2106,1738,1522,1718,1802,2586,1522,2112,1868,2196,1626
"199.96443 Da 403.74 s",6.73,200.97171,6010,6918,6652,7146,7956,7866,7494,6460,7146,6764,6270,6884,6218,5324,6460,6472,6054,5930,6476,5618,6884,5726,5728,5654,6428,6154,6204,6166,5800,5530
"277.88913 Da 403.79 s",6.73,278.89641,2540,2360,2498,2476,2844,3134,2986,3280,3214,2750,2558,3234,2542,3470,3066,2612,2848,3158,2956,3008,3004,3232,3228,2886,2790,2326,3230,2788,2968,2612
"94.00580 Da 404.07 s",6.73,95.01307,2226,2004,2006,1792,1918,1904,0,1788,1678,1812,2166,2290,1936,1202,1548,1468,1506,1420,1488,1476,992,1042,1610,1222,958,1268,852,1072,1162,1306
"97.50538 Da 403.93 s",6.73,98.51266,45560,43458,39654,0,0,45802,44934,37952,42172,41256,42226,38278,0,35590,34698,0,36768,32788,33366,0,30472,25658,0,0,0,28612,29896,28086,33142,31166
"195.01056 Da 404.56 s",6.74,98.51256,0,14760,0,43150,45404,0,10396,0,0,0,0,0,36076,0,0,35828,0,0,0,35240,0,0,26134,27656,28296,0,0,0,0,0
"84.99980 Da 404.64 s",6.74,86.00708,0,0,8538,0,8936,0,7534,8054,8114,0,7784,0,8022,7552,6862,0,7938,7054,7320,0,6196,5042,6960,6638,6880,5208,6562,0,5832,5814
"171.99486 Da 404.53 s",6.74,87.00471,128794,115020,115012,110416,130442,120680,113114,101450,115330,120508,117500,116022,115476,106290,103590,106162,103932,108462,103956,106474,99620,80696,90838,92978,91858,85510,87348,89474,87088,92762
"96.96169 Da 404.83 s",6.75,97.96897,0,0,0,11406,11748,12672,0,10912,0,0,11554,12556,0,10348,0,9102,0,0,0,10316,0,0,0,9464,10948,0,9210,9624,9620,9696
"95.00264 Da 404.25 s",6.74,96.00991,0,0,13894,0,0,0,0,0,0,0,0,0,0,0,19074,0,0,0,0,0,0,0,0,0,0,13448,0,0,13578,0
"193.92357 Da 404.71 s",6.75,97.96906,12742,11556,10720,0,0,0,10746,0,11010,11710,0,0,11536,0,11140,0,11236,10734,11498,0,11010,9254,9676,0,0,9910,0,0,0,0
"153.98455 Da 404.81 s",6.75,77.99955,33506,30978,30716,32998,34554,32186,30672,30914,29094,35256,32724,34842,44576,40630,40648,40326,43278,43416,44388,41842,45426,39504,41914,45232,41602,42094,38594,39772,43864,44368
"270.88601 Da 403.95 s",6.73,271.89328,1368,1374,1360,1290,1570,1560,1168,1768,1508,1466,1480,1712,1138,1708,1806,1264,1814,1340,1390,1970,1250,1820,1588,1572,1774,1336,1322,1410,1566,1328
"75.99460 Da 405.02 s",6.75,77.00188,2688,2384,2390,2414,2742,2742,2098,2654,2740,3026,3234,0,3486,3728,3778,3300,2546,2978,3522,3406,3076,2600,2780,3618,4230,2908,3012,3578,3602,3070
"145.97269 Da 404.00 s",6.73,146.97997,3360,3502,3934,4214,3534,3182,3862,3926,4114,3806,3872,3876,2796,4304,4188,3552,4586,3910,5074,3630,3776,3814,4178,4636,4356,4002,4316,4030,4002,4240
